code,name,now,close_20250407,close_20240923,pct_avg_drop
001311,多利科技,17.44,25.09,19.71,22.14
600072,中船科技,8.86,11.21,11.54,22.11
603535,嘉诚国际,6.36,7.81,8.51,22.06
601728,中国电信,5.43,7.87,6.06,22.04
002482,广田集团,1.24,1.67,1.51,22.01
000822,山东海化,4.12,5.73,4.83,21.97
000069,华侨城A,1.67,2.26,2.02,21.96
000401,金隅冀东,3.54,4.6,4.45,21.77
000676,智度股份,5.33,7.28,6.34,21.73
603899,晨光股份,21.51,28.44,26.49,21.68
605377,华旺科技,8.82,11.25,11.27,21.67
002322,理工能科,10.18,12.22,13.77,21.66
600104,上汽集团,10.11,13.92,11.89,21.66
603329,上海雅仕,9.55,13.42,10.96,21.66
603018,华设集团,5.37,7.43,6.27,21.61
600585,海螺水泥,17.14,23.65,20.07,21.59
002614,奥佳华,4.64,6.39,5.44,21.56
002372,伟星新材,8.55,11.18,10.61,21.52
600055,万东医疗,10.85,15.47,12.14,21.41
605300,佳禾食品,9.03,12.62,10.35,21.38
002116,中国海诚,6.98,9.19,8.56,21.35
002840,华统股份,7.92,10.23,9.89,21.27
600663,陆家嘴,6.4,8.1,8.15,21.23
601952,苏垦农发,7.75,10.38,9.26,21.08
000410,沈阳机床,5.04,6.55,6.22,21.06
000661,长春高新,68.96,94.8,79.85,21.03
000877,天山股份,3.76,5.26,4.26,21.01
603279,景津装备,12.47,15.45,16.03,20.78
002835,同为股份,12.03,16.92,13.44,20.75
603393,新天然气,22.61,26.06,31,20.75
000528,柳工,8.16,10.14,10.45,20.74
600028,中国石化,4.7,5.38,6.48,20.74
002521,齐峰新材,7.25,8.68,9.61,20.72
000400,许继电气,21.17,23.09,30.31,20.71
603712,七一二,12.97,17.83,14.87,20.67
603658,安图生物,31.02,40.02,38.18,20.66
603291,联合水务,8.47,11.98,9.36,20.62
600598,北大荒,11.35,15.68,12.9,20.57
600782,新钢股份,2.57,3.82,2.65,20.56
605011,杭州热电,17.39,23.9,19.86,20.52
600715,文投控股,1.54,2.04,1.83,20.41
600223,福瑞达,5.32,7.12,6.24,20.36
002880,卫光生物,21.55,30.51,23.6,20.35
002649,博彦科技,8.29,11.82,8.98,20.29
001376,百通能源,10.81,12.4,14.69,20.19
603107,上海汽配,11.94,14.71,15.17,20.08
600439,瑞贝卡,2.24,3.22,2.38,20
601766,中国中车,5.36,6.38,7.02,20
001367,海森药业,20.27,26.15,24.49,19.94
601949,中国出版,4.86,6.32,5.8,19.8
000713,国投丰乐,5.5,8.07,5.64,19.77
