code,name,close,ma5,pct_above
001331,胜通能源,63.49,58.95,7.71
605255,天普股份,74.27,68.96,7.7
603121,华培动力,13.26,12.31,7.68
603180,金牌家居,15.47,14.37,7.67
603615,茶花股份,18.86,17.52,7.62
600783,鲁信创投,22.28,20.71,7.56
001380,华纬科技,17.26,16.05,7.54
002164,宁波东力,12.91,12.01,7.51
002653,海思科,76.47,71.13,7.51
002126,银轮股份,53.21,49.5,7.5
603040,新坐标,71.71,66.72,7.48
002319,乐通股份,11.2,10.42,7.44
002576,通达动力,15.54,14.47,7.42
603009,北特科技,53.34,49.67,7.38
605011,杭州热电,17.39,16.2,7.37
002594,比亚迪,88.47,82.41,7.36
002250,联化科技,15.65,14.58,7.35
002090,金智科技,9.59,8.93,7.34
600601,方正科技,15.12,14.09,7.34
002698,博实股份,13.74,12.8,7.33
600263,路桥建设,16.43,15.31,7.33
603012,创力集团,8.82,8.22,7.33
603538,美诺华,38.81,36.16,7.32
603767,中马传动,15.8,14.72,7.31
603611,诺力股份,18.14,16.91,7.29
600990,四创电子,19.13,17.84,7.25
600841,动力新科,6.71,6.26,7.22
002890,弘宇股份,15.93,14.86,7.19
002029,七匹狼,8.62,8.04,7.16
002284,亚太股份,10.41,9.72,7.14
002892,科力尔,9.96,9.3,7.14
603055,台华新材,8.7,8.13,7.06
603706,东方环宇,19.25,17.98,7.04
000666,经纬纺机,8.97,8.38,7.02
603284,林平发展,39.71,37.1,7.02
002767,先锋电子,18.04,16.86,7
600391,航发科技,35.52,33.2,6.98
600322,津投城开,3.07,2.87,6.97
603219,富佳股份,16.78,15.69,6.97
600493,凤竹纺织,5.87,5.49,6.96
000970,中科三环,16.48,15.41,6.92
600699,均胜电子,23.45,21.94,6.9
605555,德昌股份,13.7,12.82,6.88
002056,横店东磁,32.82,30.71,6.87
601899,紫金矿业,27.82,26.03,6.87
002471,中超控股,6.51,6.09,6.83
002553,南方精工,17.36,16.25,6.82
603863,松炀资源,13.6,12.73,6.82
002860,星帅尔,15.96,14.95,6.74
